Count,MIME,CONTENT-TYPE
5199,text/html,text/html
2951,None,text/html
2129,image/png,image/png
1578,image/jpeg,image/jpeg
1368,None,application/octet-stream
1338,text/plain,text/html
1276,application/x-shockwave-flash,application/x-shockwave-flash
1005,image/gif,image/gif
942,text/plain,application/javascript
883,text/plain,text/css
600,None,application/x-msdownload
515,None,None
493,text/plain,application/x-javascript
478,text/plain,text/javascript
231,application/x-dosexec,application/octet-stream
208,application/javascript,text/javascript
144,application/java-archive,application/java-archive
133,application/javascript,text/html
93,application/zip,application/x-silverlight-app
84,application/xml,text/xml
74,application/x-dosexec,text/html
74,image/x-icon,image/x-icon
68,application/zip,application/x-java-archive
66,application/x-dosexec,text/plain
64,None,image/gif
62,application/vnd.ms-fontobject,application/vnd.ms-fontobject
56,text/plain,text/plain
51,application/x-shockwave-flash,application/octet-stream
50,text/plain,application/json
49,application/zip,text/html
42,None,application/zip
41,application/java-archive,application/java
40,text/json,application/json
39,application/x-dosexec,application/x-msdos-program
37,application/xml,application/x-java-jnlp-file
33,None,(empty)
32,application/xml,application/xml
32,None,video/f4f
32,text/html,None
31,application/javascript,application/javascript
31,application/javascript,application/x-javascript
31,text/plain,None
26,None,image/x-icon
26,None,text/plain
25,application/pdf,application/pdf
25,text/ini,text/plain
24,application/font-woff,font/woff
24,application/x-dosexec,application/x-msdownload
23,image/png,text/html
20,application/x-shockwave-flash,text/html
20,application/zip,application/octet-stream
20,None,application/x-shockwave-flash
19,application/vnd.ms-fontobject,font/eot
19,application/x-dosexec,(empty)
19,None,image/jpeg
19,None,image/png
18,application/zip,application/java-archive
17,application/java-archive,application/x-java-archive
15,application/x-gzip,text/html
15,image/webp,image/webp
15,image/x-icon,image/vnd.microsoft.icon
14,application/ocsp-response,application/ocsp-response
14,application/vnd.ms-fontobject,application/octet-stream
14,None,application/javascript
14,None,octet/stream
14,text/plain,application/octet-stream
13,application/vnd.ms-cab-compressed,application/octet-stream
13,None,application/json
13,None,image/vnd.microsoft.icon
13,None,text/javascript
12,None,text/css
11,application/x-java-jnlp-file,text/html
11,text/json,text/html
10,None,application/pkix-cert
9,application/font-woff,text/plain
9,application/vnd.ms-fontobject,text/plain
9,image/x-ms-bmp,image/bmp
9,None,application/x-www-form-urlencoded
7,image/svg+xml,image/svg+xml
6,image/png,image/jpeg
6,None,application/x509-ca-cert
6,text/html,application/octet-stream
6,text/plain,image/png
5,application/x-dosexec,audio/mpeg
5,application/zip,application/zip
5,image/gif,image/png
5,image/jpeg,image/png
5,None,application/x-pkcs7-crl
5,text/html,text/plain
5,text/json,text/plain
4,application/font-woff,application/x-font-woff
4,application/java-archive,text/html
4,application/xml,text/html
4,image/gif,None
4,image/jpeg,image/gif
4,image/x-icon,text/plain
4,None,application/x-x509-ca-cert
4,text/ini,text/html
4,text/plain,application/x-ns-proxy-autoconfig
4,text/plain,(empty)
4,text/plain,text/x-component
3,application/vnd.ms-opentype,application/vnd.ms-opentype
3,None,application/x-javascript
2,application/font-woff2,font/woff2
2,application/java-archive,video/ogg
2,application/javascript,text/plain
2,application/x-dosexec,application/x-dosexec
2,application/x-font-ttf,application/x-font-ttf
2,application/zip,text/plain
2,image/png,image/gif
2,image/png,image/x-icon
2,image/x-ms-bmp,image/x-icon
2,None,image/bmp
2,text/x-php,text/html
1,application/f4m,video/f4m
1,application/font-woff2,None
1,application/font-woff,application/font-woff
1,application/font-woff,application/x-woff
1,application/font-woff,None
1,application/java-archive,application/zip
1,application/java-archive,audio/ogg
1,application/java-archive,image/jpeg
1,application/java-archive,text/plain
1,application/vnd.ms-fontobject,text/html
1,application/vnd.ms-opentype,font/otf
1,application/x-font-ttf,application/octet-stream
1,application/x-shockwave-flash,application/javascript
1,application/zip,audio/ogg
1,application/zip,image/gif
1,application/zip,image/jpeg
1,application/zip,None
1,audio/x-mp4a-latm,text/html
1,image/gif,application/x-httpd-png
1,image/jpeg,text/html
1,image/png,application/x-httpd-png
1,image/png,image/vnd.microsoft.icon
1,image/png,text/plain
1,image/x-cursor,image/bmp
1,None,application/application/x-rar-compressed
1,None,application/ocsp-response
1,None,Application/octet-stream
1,None,application/ogg
1,None,application/pkix-crl
1,None,application/x-download
1,None,application/x-msdos-program
1,None,audio/mp4
1,None,audio/mpeg
1,None,image/pjpeg
1,None,video/ogg
1,text/html,application/json
1,text/html,(empty)
1,text/plain,application/pkix-crl
1,text/plain,application/xml
1,text/plain,image/jpeg
1,text/x-cross-domain-policy,text/html
1,text/x-cross-domain-policy,text/x-cross-domain-policy
1,text/x-php,application/javascript
1,text/x-php,application/x-javascript
